Course Title,Course Description,Course Curriculum,Course URL
Framework to Choose the Right LLM for your Business,"This course provides a comprehensive framework for selecting the right LLM for your business. Learn to evaluate LLMs based on accuracy, cost, scalability, and more, while exploring real-world applications to make informed, strategic AI decisions.",Introduction: Introduction; It's an LLM World!: It's an LLM World!; Understand Your Business: Understand Your Business; Framework to Choose the Right LLM: Framework to Choose the Right LLM; Case Studies: Case Studies; Conclusion: Conclusion,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"Master key challenges in real-world Retrieval-Augmented Generation (RAG) systems. Explore practical solutions, advanced retrieval strategies, and agentic RAG systems to improve context, relevance, and accuracy in AI-driven applications.","Improving Real World RAG System: Introduction to RAG Systems, Resources, RAG System Challenges Practical Solutions, Hands-on: Solution for Missing Content in RAG, Other Key Challenges, Practical Solutions, Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed, Wrong Format Problem  Solution, Hands-on: Solution for Wrong Format, Incomplete Problem Solution, HyDE, Other Practical Solutions from recent Research Papers",https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges
Building Smarter LLMs with Mamba and State Space Model,"Master Mamba's selective state space model for LLMs. Discover key components like the Mamba block, optimizing sequence modeling with efficient, scalable training and inference, surpassing traditional Transformers.","Course Overview: Course Overview; An Alternative to Transformers: Are RNNs a Solution, The Problem with Transformers; Understanding State Space Models: What is a State Space Model?, The Discrete Representation, The Recurrent Representation, The Convolution Representation, The Three Representations, The Importance of the A Matrix; Mamba - A Selective State Space Model: What Problem does it attempt to Solve?, Selectively Retaining Information, Speeding Up Computations, Exploring the Mamba Block, Jamba - Mixing Mamba with Transformers",https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model
Generative AI - A Way of Life - Free Course,"Embark on a journey into Generative AI for beginners. Learn AI-powered text and image generation, use top AI tools, and explore industry applications. Gain practical skills, understand ethical practices, and master prompting techniques.","Introduction to Generative AI: Fundamentals of Generative AI, What is Generative AI?, How does Generative AI work?, Exploring the Potential of Generative AI, GenAI Pinnacle Program, Hands On: Let’s get generating!; Text Generation Using Generative AI: An Overview of Text Generation, What is ChatGPT?, Working with ChatGPT, Working with ChatGPT Plus, Build a Custom GPT, Working with Microsoft Copilot, Working with Google Gemini, Gen AI Pinnacle Ad, Learning the Art of Prompting, Creating a Chatbot, Ethics and Best Practices; Image Generation Using Generative AI: Introduction to Image Generation, Exploring the Potential of Image Generation, Working with free image generation tools, Working with Clipdrop, Working with Bing Image Creator, Working with Firefly, Working with Paid Image Generative Tools, Working with paid image generative tools DreamStudio, Working with DALLE-2, Working with Midjourney, Gen AI Pinnacle Ad, Prompting your Way to Art, Accomplishing Tasks with Image Generation, E for Ethics and Efficiency",https://courses.analyticsvidhya.com/courses/genai-a-way-of-life
Getting Started with Large Language Models,Embarking on a journey into Large Language Models (LLMs) can be seamless with the right approach. This course offers an optimal pathway to delve into the intricacies of natural language processing and model training.,"Introduction: Course Objective, Course Handouts, The Exponential Growth; The Evolution of NLP: The Evolution of NLP: Symbolic NLP, The Evolution of NLP: Statistical NLP, The Evolution of NLP: Deep Learning, The Evolution of NLP: Deep Learning Era II, The Evolution of NLP: Tranformers and Evolution, Quiz; What are Large Language Models?: Introduction to Large Language Model, What is a Large Language Model?, Understanding Foundational Models, Different types of LLMs: Based on Response, Different types of LLMs: Based on Model Architecture, Quiz; The Current State of the Art in LLMs: The Current State of the Art in LLMs; Generative AI - Glossary: Generative AI- Glossary; Your Feedback Matters!: Your Feedback Matters!",https://courses.analyticsvidhya.com/courses/getting-started-with-llms
Building LLM Applications using Prompt Engineering - Free Course,"This free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot prompting","How to build diffferent LLM AppIications?: Introduction to Building Different LLM applications, Prompt Engineering, Retrieval Augmented Generation, Finetuning LLMs, Training LLMs from Scratch, Quiz; Getting Started with Prompt Engineering: Introduction to Prompt Engineering, Set up your machine for Prompt Engineering, Prompt Engineering with ChatGPT API, Enabling Conversation with ChatGPT API, Quiz; Understanding Different Prompt Engineering Techniques: Introduction to Understanding Different Prompt Engineering Techniques, Few Shot Prompting, One Shot Prompting, Zero Shot Prompting, Quiz, Assignment",https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free
MidJourney: From Inspiration to Implementation - Free Course,Understand the fundamentals of the famous image generation tool - Midjourney in this free course. You will learn the various components of Midjourney and how to use it to bring your imaginations to real world.,"MidJourney: MidJourney - Storm _ Story, MidJourney - Inspiration, MidJourney - How to use, MidJourney  Alternatives, Quiz",https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation
Building Your first RAG System using LlamaIndex - Free Course,Dive into the sea of Retrieval Augmented Generation with this free course that will help you build your first RAG model with the popular LlamaIndex.,"Introduction to RAG systems: Welcome to this course, Why RAG, What is RAG system, Overview of RAG Framework, Quiz, Course handouts; Getting Started with LlamaIndex: Introduction to LlamaIndex, Components of LlamaIndex, Reading Material: How to get your API Key, How to get Open AI Keys - 2 min - Website go through, Build Your First RAG system using LlamaIndex, Quiz",https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex
Exploring Stability.AI - Free Course,"Explore Stability.AI with this free course providing hands-on experience. Learn to deploy SD WebUI, use Automatic WebUI on RunPod GPU environments, and master installation, setup, generation, and customization of SD.","Mastering stability.ai and its tools: Introduction to Stability, How to use Stability.AI tools, Review of Deployment Options for SD WebUI, Automatic1111 WebUI on RunPod GPU environment, SD WebUI Hands-On - Installation and Setup, SD WebUI Hands-On - Generation and Settings, Quiz",https://courses.analyticsvidhya.com/courses/exploring-stability-ai
Introduction to AI & ML,"Artificial Intelligence (AI) and Machine Learning (ML) are changing the world around us. From functions to industries, AI and ML are disrupting how we work and how we function. Get to know all about the different facets of AI and ML in this course.","Introduction to AI & ML: What is AI&ML?, Types of ML, When to Apply AI&ML, Recent AI Uprising, How the world is Changing?, Building Blocks of AI and ML, Knowing Each Other, AI&ML Blackbelt Plus Program (Sponsored); Common Terminologies, Tools and Techniques: Common Terminologies, Common Data Capturing Types and Tools, Common Tools, Common Techniques, Common Techniques - Part1, Common Techniques - Part2; Skills required to become a data science professional: Skills Required in Data Science, AI and ML Black Belt+, Where to Go from here!!",https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml
